ID,final_result,d_male,d_female,does father have a professional degree,does mother have a professional degree,d_stratum1,d_stratum2,d_stratum3,d_stratum4,d_stratum5,d_stratum6,d_level1sisben,d_level2sisben,d_level3sisben,PEOPLE_HOUSE,INTERNET,TV,COMPUTER,WASHING_MCH,MIC_OVEN,CAR,DVD,FRESH,PHONE,MOBILE,JOB,Private school,public school,MAT_S11,CR_S11,CC_S11,BIO_S11,ENG_S11,QR_PRO,CR_PRO,CC_PRO,WC_PRO,FEP_PRO
69,4,1,0,1,1,0,0,1,0,0,0,0,0,0,4,1,1,1,1,1,0,1,1,1,1,0,1,0,67,67,68,58,75,78,75,78,27,169
70,3,1,0,1,1,0,0,0,1,0,0,0,0,0,3,1,1,1,1,1,1,1,1,1,0,0,1,0,67,58,59,58,78,83,53,3,42,139
71,4,0,1,0,0,0,1,0,0,0,0,1,0,0,4,0,0,0,1,0,0,0,1,1,1,0,1,0,77,81,68,66,73,100,59,80,51,157
72,3,0,1,1,1,0,0,0,1,0,0,0,0,0,4,1,1,1,1,1,1,1,1,1,1,0,1,0,67,58,56,61,49,40,13,77,41,138
73,4,1,0,1,1,0,0,0,1,0,0,0,0,0,3,1,1,1,1,1,1,1,1,1,1,0,1,0,72,75,68,70,71,89,81,99,75,146
74,3,0,1,1,0,0,1,0,0,0,0,0,1,0,4,1,1,1,1,0,0,1,1,1,1,0,1,0,54,55,59,58,55,75,93,86,2,170
75,4,0,1,0,1,0,1,0,0,0,0,0,1,0,4,0,1,1,0,0,0,1,1,1,1,0,1,0,61,67,57,63,44,97,77,88,62,165
76,4,1,0,0,0,0,0,0,0,0,1,0,0,0,6,1,1,1,1,1,1,1,1,1,1,0,1,0,71,63,56,72,88,98,83,60,79,193
77,4,0,1,1,1,0,0,1,0,0,0,0,0,0,8,1,1,1,1,1,1,1,1,1,1,0,1,0,72,49,59,63,92,96,45,42,76,169
78,4,1,0,1,1,0,0,0,0,1,0,0,0,0,3,1,1,1,1,1,1,1,1,1,1,0,1,0,80,67,68,81,80,96,80,83,29,188
79,4,1,0,1,1,0,0,0,0,0,1,0,0,0,5,1,1,1,1,1,1,1,1,1,1,0,1,0,73,68,63,72,82,99,91,88,81,187
80,3,1,0,0,0,0,0,1,0,0,0,0,0,0,3,1,1,1,1,0,0,1,1,1,1,0,1,0,63,58,39,64,76,88,1,25,94,152
81,4,1,0,1,1,0,0,0,0,1,0,0,0,0,5,1,1,1,1,1,1,1,1,1,1,0,1,0,72,60,65,64,78,100,95,34,12,185
82,3,1,0,1,1,0,0,0,1,0,0,0,0,0,5,1,1,1,1,1,1,1,1,1,1,0,1,0,62,62,56,65,71,78,58,70,38,173
83,4,1,0,1,1,0,0,0,0,0,1,0,0,0,4,0,1,1,1,1,1,1,1,1,0,0,1,0,72,65,56,66,96,92,84,73,90,163
84,3,0,1,0,0,0,0,0,0,1,0,0,0,0,4,1,1,1,1,1,1,1,1,1,1,0,1,0,56,60,49,44,64,67,11,49,74,141
85,2,1,0,1,1,0,0,0,1,0,0,0,0,0,3,1,1,1,1,1,1,1,1,1,1,0,1,0,51,54,48,48,39,89,9,8,59,119
86,2,0,1,1,1,0,0,0,1,0,0,0,0,0,6,1,1,1,1,1,0,1,1,1,1,0,1,0,51,49,48,57,59,46,25,5,19,141
87,4,0,1,1,1,0,0,0,0,0,1,0,0,0,5,1,1,1,1,1,1,1,1,1,1,0,1,0,74,60,57,68,80,100,93,65,27,167
