IDNo,ID,final_result,Female,Male,YoG,SGPA,CGPA100,CGPA200,CGPA300
54537,2907,Pass with distinction,0,1,1.2,3.52,4.04,4.09,4.66
64884,2908,Pass,0,1,1.2,2.73,3,1.94,3.06
42127,2909,Pass with distinction,1,0,1.2,3.67,4.16,3.84,4.51
96957,2910,Pass,0,1,1.2,3.21,2.55,2.16,3.42
89012,2911,Pass with distinction,0,1,1.2,2.77,3.67,3.22,3.86
88802,2912,Borderline pass,0,1,1.3,2.29,2.24,1.54,2.8
32800,2913,Borderline pass,0,1,1.4,3.48,2.55,2.08,2.94
72513,2914,Pass,0,1,1.2,2.29,3.53,2.98,3.97
84084,2915,Borderline pass,0,1,1.4,3.19,3.13,1.86,2.03
58746,2916,Pass,1,0,1.3,2.5,2.43,2.3,2.94
90882,2917,Pass with distinction,0,1,1.3,2.99,3.96,4.28,4.66
47490,2918,Pass with distinction,0,1,1.3,2.97,3.12,3.29,4.17
57155,2919,Pass,0,1,1.3,2.28,4.02,3.86,3.76
84084,2920,Borderline pass,1,0,1.3,2.14,1.98,2.78,2.94
85620,2921,Pass with distinction,1,0,1.3,3.28,3.41,4.02,4.38
55375,2922,Pass,0,1,1.3,2.5,2.94,3.23,3.79
64135,2923,Pass,0,1,1.3,2.58,3.86,3.47,3.52
44942,2924,Pass,0,1,1.3,3.13,3.53,3,3.79
49043,2925,Borderline pass,0,1,1.5,2.42,3.31,1.84,2.79
34815,2926,Pass,0,1,1.3,3.04,3.37,2.77,3.38
88757,2927,Pass with distinction,1,0,1.3,2.63,3.69,4.59,4.62
71738,2928,Pass,0,1,1.3,2.57,3.35,3.11,3.61
50853,2929,Pass,0,1,1.3,2.73,4.2,4.51,4.55
49135,2930,Borderline pass,0,1,1.3,2.73,3.49,3.07,2.86
83346,2931,Borderline pass,0,1,1.3,2.29,3,2.3,3.23
35671,2932,Pass with distinction,0,1,1.3,2.97,3.35,3.08,3.34
51995,2933,Pass,1,0,1.3,4.14,3.63,3.65,4.48
76281,2934,Pass,0,1,1.3,3.44,3.37,3.26,3.48
